t,x_child,y_child,z_child,vx_child,vy_child,vz_child,tx_target,ty_target,tz_target,x_mother,y_mother,z_mother,vx_mother,vy_mother,vz_mother
0.0,0.037012409922967615,-0.003685985473913466,0.014787865623551166,0.7402481984593522,-0.07371970947826931,0.29575731247102327,50.049999166670844,-4.999750002083327,20.0,50.0,0.0,20.0,-0.09999666671113516,9.999333346666539,0.0
0.0,0.1479736334516945,-0.014740605498617075,0.05915978156638488,1.4789762721151856,-0.14737269101580286,0.5916810063856509,50.049999166670844,-4.999750002083327,20.0,50.0,0.0,20.0,-0.09999666671113516,9.999333346666539,0.0
0.0,0.33256720026672915,-0.03317711983406974,0.13308701356834712,2.212895064185507,-0.22135759569325048,0.8868636336535938,50.049999166670844,-4.999750002083327,20.0,50.0,0.0,20.0,-0.09999666671113516,9.999333346666539,0.0
0.0,0.5901455085701769,-0.05897311457454376,0.2365184275111973,2.938671101883448,-0.29456229911622983,1.1817646452034096,50.049999166670844,-4.999750002083327,20.0,50.0,0.0,20.0,-0.09999666671113516,9.999333346666539,0.0
0.1,0.9198469295395821,-0.09112080091533223,0.3693913121212443,3.6553573175046563,-0.34839142769953946,1.4756930469975298,50.13997783434135,-3.997816834078284,20.0,49.99000033332889,0.999933334666654,20.0,-0.29995000279988915,9.99533374665054,0.0
0.2,1.3205742065814432,-0.12766242455730645,0.5315957808742594,4.359188223332562,-0.3824410451399449,1.768396328062771,50.20990117940229,-2.9942845926431243,20.0,49.9600053330489,1.999466709331708,20.0,-0.4997833628868875,9.987336146405216,0.0
0.30000000000000004,1.7908933231914446,-0.16649778722697,0.7229731979698321,5.047194108867466,-0.3942662082533264,2.0591520138486814,50.25974123344787,-1.989554677294168,20.0,49.91002699676021,2.9982003239722297,20.0,-0.6994168162923842,9.975343744864048,0.0
0.4,2.329048531367191,-0.20531782522587813,0.9432881202636062,5.715910054647459,-0.38213455172483585,2.347146432026801,50.28947806112101,-0.9840289666013389,20.0,49.84008531513097,3.9957346984586346,20.0,-0.8987705122967782,9.959361338827728,0.0
0.5,2.9330170465965817,-0.2416564606336899,1.1922262062697524,6.363460249940355,-0.34463815643139917,2.631615288096122,50.29909976808718,0.021890342557925102,20.0,49.75020826390129,4.991670832341407,20.0,-1.097764712079794,9.939395321045605,0.0
0.6000000000000001,3.600547467956348,-0.2728285440191741,1.4693643959925917,6.987148177254969,-0.2788035112782854,2.9111485063606657,50.288602505791786,1.0278008958720273,20.0,49.64043179269331,5.985610364445968,20.0,-1.296319820614542,9.915453677658563,0.0
0.7000000000000001,4.329109798337218,-0.29586864364297266,1.7741620566842249,7.5840984303624435,-0.18199848119768514,3.1848047074719967,50.25799047299984,2.0333003425316116,20.0,49.51079981063186,6.977155732211824,20.0,-1.4943564185050917,9.887545985004742,0.0
0.8,5.115927593122883,-0.3075479538763099,2.1059436273504577,8.152257465350864,-0.05158772346905913,3.4508267058526574,50.20727591411634,3.0379864961644953,20.0,49.36136416878135,7.9659103307122985,20.0,-1.6917952937527758,9.855683405789106,0.0
0.9,5.958035508395166,-0.30439825397124554,2.463890989777792,8.689900840094776,0.1145817215703463,3.708120542694026,50.13647911428859,4.0414574957048615,20.0,49.19218463940607,8.951478671291209,20.0,-1.8885574734399313,9.81987868461852,0.0
1.0,6.85224583553397,-0.28275232280859414,2.8470292188065267,9.194305702681307,0.318336901682682,3.9546440378806658,50.045628391292546,5.043311966132313,20.0,49.00332889206208,9.933466539753061,20.0,-2.084564255318,9.780146142904051,0.0
1.1,7.795133581916286,-0.23874074776021537,3.2541773887558625,9.663449224965005,0.5618945992848934,4.18831936110605,49.93476008420624,6.043149179016596,20.0,48.79487246653028,10.911481154043466,20.0,-2.279737239287982,9.73650167313263,0.0
1.2000000000000002,8.783100975592353,-0.16835839634850305,3.683937648576168,10.095898648556323,0.845752428949353,4.406885835300066,49.80391853887409,7.040569212803504,20.0,48.56689874260148,11.88513132135673,20.0,-2.4739983587581804,9.688962732510262,0.0
1.3,9.812421627961408,-0.06754484555550407,4.134689389791964,10.490514398824764,1.1705185869106267,4.608148989015842,49.653156090169844,8.03517311277831,20.0,48.31949890672566,12.854027594607755,20.0,-2.6672699118712018,9.637548335979336,0.0
1.4000000000000001,10.879187830013969,0.06775132916902955,4.60460877314375,10.844809642226435,1.5354049075800458,4.790238678019875,49.48253304106272,9.026563050642203,20.0,48.05277191553854,13.817782428205689,20.0,-2.8594745925824583,9.58227904861289,0.0
1.5,11.979336505083769,0.24148685438903605,5.0916868152382175,11.158163859169568,1.9393055968200847,4.951322163869481,49.29211763849751,10.014342483638409,20.0,47.7668244562803,14.776010333066978,20.0,-3.0505355215825602,9.52317697738911,0.0
1.6,13.10871707680845,0.45747964911379924,5.593761046851305,11.429447575324069,2.3805502976751796,5.090162468392257,49.08198604609639,10.998116313163957,20.0,47.46177090412204,15.728328030805889,20.0,-3.240376277047332,9.460265762348303,0.0
1.7000000000000002,14.263083312931768,0.7192744045725032,6.108562152466612,11.657877147142292,2.855344811498901,5.2058596439138745,48.85222231369455,11.97749104280382,20.0,47.13773327641731,16.67435460704072,20.0,-3.428920925205645,9.393570567137779,0.0
1.8,15.438158162781361,1.0300634161110633,6.633763587620011,11.843619849849587,3.3604354192723003,5.298169059154124,48.602918343721534,12.952074935724319,20.0,46.79484118389674,17.613711663754497,20.0,-3.6160940507122774,9.323118068946386,0.0
1.9000000000000001,16.62966225381004,1.392751433825374,7.1670283595608515,11.986461970724,3.8933249350139105,5.36712637966268,48.33417385444132,13.921478171362569,20.0,46.433231778825515,18.546023470649136,20.0,-3.801820786812584,9.24893644783392,0.0
2.0,17.833243805195963,1.8098942759589927,7.706062628372247,12.085169056994452,4.4495319076584625,5.413558996565229,48.046096340066406,14.885313001349518,20.0,46.05304970014426,19.470917115432528,20.0,-3.986026845288464,9.171055375459787,0.0
2.1,19.044477187055747,2.2836197507734655,8.248697865776654,12.139498580201234,5.024977588630996,5.439145751522896,47.73880102776145,15.843193904604071,20.0,45.65444701561541,20.388022652978506,20.0,-4.168638546172403,9.089506003214751,0.0
2.2,20.258874904896583,2.815644784080849,8.792912442018498,12.148455776615455,5.615523077516667,5.445145773313971,47.41241083155432,16.794737741536597,20.0,45.23758316099817,21.29697325329998,20.0,-4.349582847219082,9.004320949760078,0.0
2.3000000000000003,21.47179368554722,3.4072905820543,9.3368673223427,12.10991983639727,6.217392881952357,5.433951833170059,47.06705630317162,17.739563907299353,20.0,44.80262487627626,22.19740534827599,20.0,-4.528787373120551,8.915534287981544,0.0
2.4000000000000004,22.678383758009847,4.059447156559729,9.878934315990056,12.021881612855301,6.82573860815623,5.407388039777083,46.70287557981999,18.67729448402353,20.0,44.34974613896421,23.088958777074144,20.0,-4.706180444455725,8.823181531360085,0.0
2.5,23.873546876567854,4.7725224176663605,10.417738596898873,11.881380758304818,7.435766613976386,5.368697578399263,46.32001432893318,19.607554391981402,20.0,43.879128094518634,23.971276930210152,20.0,-4.88169110636143,8.727299619766846,0.0
2.6,25.05186901036859,5.546390403855694,10.952185727219115,11.685061917709904,8.041593109810291,5.320245028005565,45.918625689906705,20.52997153961302,20.0,43.39095898388249,24.844006892186837,20.0,-5.055249156912822,8.627926904688188,0.0
