t,x_child,y_child,z_child,vx_child,vy_child,vz_child,tx_target,ty_target,tz_target,x_mother,y_mother,z_mother,vx_mother,vy_mother,vz_mother
1038.4,48.29383658987703,-14.048218872395497,19.98798110231141,2.77497630625342,9.482577436736587,-0.0008598779676313457,48.01150962149877,-14.996494941545947,20.0,48.971439205148556,-10.089506537806445,20.0,1.9198271698068226,9.813813242016938,0.0
1038.5,48.561525000725396,-13.099022473727247,19.987895050682262,2.5787919107138766,9.501350536628381,-0.0008611546153254108,48.3018175435512,-14.033329564168811,20.0,49.16342192212924,-9.108125213604751,20.0,1.723180037153682,9.850244528470409,0.0
1038.6000000000001,48.809512149844586,-12.148366956917785,19.987808883004107,2.3809510716699687,9.51175979956086,-0.0008621989477863585,48.572805382601814,-13.064551042074616,20.0,49.33573992584461,-8.12310076075771,20.0,1.5258436554613297,9.882735848448236,0.0
1038.7,49.037715022527664,-11.197076528209,19.987731725005812,2.1831063819915713,9.51404877461486,-0.0006809610180828671,48.824364747128136,-12.09054687375523,20.0,49.48832429139074,-7.1348271759128865,20.0,1.3278969566510312,9.91127420585384,0.0
1038.8,49.246142867988,-10.245973428347545,19.987676674435022,1.9854505272151557,9.508013222614208,-0.0004200503977043023,49.056395016738506,-11.111706647891534,20.0,49.62111398705584,-6.143699755327503,20.0,1.1294191167630885,9.9358481857261,0.0
1038.9,49.434883458951,-9.2958690564834,19.98765122497314,1.7893612920448745,9.494074214668672,-8.893883998581018e-05,49.26880338241871,-10.128421887522794,20.0,49.73405589873215,-5.150114936754893,20.0,0.9304895242872391,9.956447958800725,0.0
1039.0,49.60413594032872,-8.347412129633458,19.98765790828287,1.5956883355095088,9.4750643223302,0.00022260503458881875,49.46150488365458,-9.141085893442828,20.0,49.827104851160875,-4.15447014087482,20.0,0.7311877484079332,9.973065285441812,0.0
1039.1000000000001,49.7542104970676,-7.4009435229246,19.987703536885615,1.4058027992680553,9.45430781184695,0.0006899670203055078,49.634422442414895,-8.150093586885045,20.0,49.90022362600167,-3.157163612330639,20.0,0.5315935071784139,9.985693518942046,0.0
1039.2,49.88554170042736,-6.456387096736374,19.98779963456415,1.2208212679271637,9.436820711917575,0.0012319865504559695,49.787486893981736,-7.155841351558932,20.0,49.95338297671951,-2.158594260436434,20.0,0.33178663563376176,9.994327608174615,0.0
1039.3,49.998781108963676,-5.512970264719243,19.98793452166328,1.043966902799109,9.431515928425034,0.001465755432153151,49.920637014615245,-6.158726875102184,20.0,49.986561640282886,-1.1591614996189725,20.0,0.13184705385874906,9.99896409962073,0.0
1039.4,50.094475411721355,-4.568863311422161,19.98809357268429,0.869919152354441,9.450623137516608,0.0017152649879869646,49.991783081086346,-5.159258748294597,20.0,49.99974634566876,-0.1592650896568995,20.0,0.002536543312388062,1.592650896568995,0.0
1039.5,50.172545323503826,-3.6215769846000594,19.988257848278938,0.6914790832950016,9.495103398925425,0.001570246904984844,50.049999166670844,-4.999750002083326,20.0,50.0,0.0,20.0,-0.09999666671113516,9.999333346666539,0.0
1039.6000000000001,50.232597136689016,-2.66927782861148,19.98840179294133,0.5095571804087454,9.550879720846165,0.0013086463428058329,50.13997783434135,-3.997816834078284,20.0,49.99000033332889,0.999933334666654,20.0,-0.29995000279988915,9.99533374665054,0.0
1039.7,50.274295102103274,-1.7112181214934665,19.988534322102595,0.32440212787637834,9.610314421514104,0.0013419368825359952,50.20990117940229,-2.9942845926431225,20.0,49.9600053330489,1.999466709331708,20.0,-0.4997833628868875,9.987336146405216,0.0
1039.8,50.29735192263329,-0.7472780496611066,19.988670826527276,0.13673428272397442,9.668487015133095,0.001388151611071051,50.25974123344787,-1.9895546772941688,20.0,49.91002699676021,2.9982003239722297,20.0,-0.6994168162923842,9.975343744864048,0.0
1039.9,50.301505431612625,0.222245126839006,19.988790047537677,-0.05366410313723324,9.721976514869153,0.0009962685969374923,50.28947806112101,-0.984028966601338,20.0,49.84008531513097,3.9957346984586346,20.0,-0.8987705122967782,9.959361338827728,0.0
1040.0,50.28653651163566,1.19673633584771,19.98887155803583,-0.2457142964020999,9.76784766530493,0.0006339413661088883,50.29909976808718,0.021890342557925102,20.0,49.75020826390129,4.991670832341407,20.0,-1.097764712079794,9.939395321045605,0.0
1040.1000000000001,50.2522903387695,2.1753865591543216,19.988927918398073,-0.43920916092115947,9.805156800827293,0.0004932658787402305,50.288602505791786,1.0278008958720282,20.0,49.64043179269331,5.985610364445968,20.0,-1.296319820614542,9.915453677658563,0.0
1040.2,50.19859911268261,3.1573289617474165,19.988969887488835,-0.6346153608165905,9.83369125103461,0.00034611593652326435,50.25799047299984,2.0333003425316116,20.0,49.51079981063186,6.977155732211824,20.0,-1.4943564185050917,9.887545985004742,0.0
1040.3,50.125318965566834,4.141714500308472,19.98901262094801,-0.8309875814989083,9.854019520186498,0.0005085532469554971,50.20727591411634,3.0379864961644953,20.0,49.36136416878135,7.9659103307122985,20.0,-1.6917952937527758,9.855683405789106,0.0
1040.4,50.03235626591165,5.127658461384067,19.98907671588587,-1.028266411604729,9.864859701325399,0.0007733455101826821,50.13647911428859,4.0414574957048615,20.0,49.19218463940607,8.951478671291209,20.0,-1.8885574734399313,9.81987868461852,0.0
1040.5,49.91964809108659,6.114262738746757,19.98916599587851,-1.2258970848963986,9.867225845928402,0.0010122543425811975,50.045628391292546,5.043311966132313,20.0,49.00332889206208,9.933466539753061,20.0,-2.084564255318,9.780146142904051,0.0
1040.6000000000001,49.787168104638035,7.100700708466358,19.989266091681966,-1.423702644074807,9.861533548463612,0.0009896617265391624,49.93476008420624,6.043149179016597,20.0,48.79487246653028,10.911481154043466,20.0,-2.279737239287982,9.73650167313263,0.0
1040.7,49.63492685652792,8.086201859951325,19.989358749619498,-1.6211223181275005,9.848489481235735,0.000863497024088169,49.80391853887409,7.040569212803504,20.0,48.56689874260148,11.88513132135673,20.0,-2.4739983587581804,9.688962732510262,0.0
1040.8,49.46298068695636,9.070084978565973,19.989434476782215,-1.8178010733036902,9.829172891057203,0.0006510462302258416,49.653156090169844,8.03517311277831,20.0,48.31949890672566,12.854027594607755,20.0,-2.6672699118712018,9.637548335979336,0.0
1040.9,49.27136988157801,10.051675572105406,19.989484065001534,-2.014415034263243,9.802638979731476,0.00034071815616412444,49.48253304106272,9.026563050642203,20.0,48.05277191553854,13.817782428205689,20.0,-2.8594745925824583,9.58227904861289,0.0
